n;m;volume total ou temps
10;2;198
10;2;698871
10;2;198
10;2;731232
10;2;182
10;2;445408
10;2;190
10;2;930415
10;2;198
10;2;938872
10;2;200
10;2;705572
10;2;194
10;2;788695
10;2;194
10;2;679834
10;2;199
10;2;1196638
10;2;199
10;2;889148
10;3;296
10;3;49414980
10;3;288
10;3;59813545
10;3;293
10;3;52537462
10;3;273
10;3;29579271
10;3;284
10;3;39681232
10;3;286
10;3;60252080
10;3;295
10;3;43273194
10;3;290
10;3;38781982
10;3;290
10;3;54458503
10;3;293
10;3;35725247
32;2;200
32;2;3137801
32;2;200
32;2;2693778
32;2;200
32;2;3020534
32;2;200
32;2;2059124
32;2;200
32;2;2254606
32;2;200
32;2;2263114
32;2;200
32;2;2069486
32;2;200
32;2;2656153
32;2;200
32;2;2448281
32;2;200
32;2;2056293
